순위,책이름,저자,출판사,가격
1,"세네카, 오늘을 빼앗기고 있는 당신에게",루키우스 안나이우스 세네카 저/하와이 대저택 편역,논픽션,"16,200원"
2,오디세이아,호메로스 저/페테르 파울 루벤스 그림/박문재 역,현대지성,"24,300원"
3,원소 원정대: 118개 캐릭터로 마스터하는 주기율표 공략집,아게도리도리 글그림/박재현 역/장홍제 감수,윌북주니어,"17,820원"
4,오뒷세이아,호메로스 저/김헌 역,을유문화사,"22,500원"
5,싯다르타,헤르만 헤세 저/박병덕 역,민음사,"7,200원"
6,투명한 나선,히가시노 게이고 저/김선영 역,북다,"19,800원"
7,니체의 초월자,프리드리히 니체 저/김철 편역,히읏,"15,210원"
8,오디세이아,호메로스 원저/니콜라 친퀘티 글/데시데리아 귀치아르디니 그림/이승수 역,마음이음,"15,120원"
9,모순,양귀자 저,쓰다,"11,700원"
10,최상위권의 비밀,김민지 저,동양북스(동양books),"17,820원"
11,그랬다고 적었다,김애란 저,문학동네,"15,300원"
12,테오,앨런 레비 저/노지양 역,오팬하우스,"18,900원"
13,일리아스,호메로스 원저/니콜라 친퀘티 글/데시데리아 귀치아르디니 그림/이승수 역,마음이음,"15,120원"
14,독서의 기술,고명환 저,라곰,"17,820원"
15,공부가 결국 너를 지켜줄 거야,임민찬 저,퍼스트펭귄,"17,820원"
16,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성 저,이투스북 ,"17,100원"
17,ETS 토익 정기시험 기출문제집 1000 Vol. 5 RC,ETS 저,YBM(와이비엠),"19,800원"
18,수족관,유래혁 저,포스터샵,"15,930원"
19,일리아스&오디세이아 세트,호메로스 저/페테르 파울 루벤스 그림/박문재 역,현대지성,"49,500원"
20,ETS 토익 정기시험 기출문제집 1000 Vol. 5 LC,ETS 저,YBM(와이비엠),"19,800원"
21,내면 근력,짐 머피 저/지여울 역,윌북(willbook),"19,800원"
22,나는 왜 네 말이 힘들까,박재연 저,한빛라이프,"19,800원"
23,2027 공단기 소방단기 써니 행정법총론 기본서,박준철 편저,공단기(에스티유니타스),"39,600원"
24,"돈, 뜨겁게 사랑하고 차갑게 다루어라",앙드레 코스톨라니 저/한윤진 역,미래의창,"13,500원"
