no,title,link
0, 범죄피해자 일상회복 돕는다…동대문경찰서·마사회 등 ‘맞손’ ,http://v.daum.net/v/20260810143927404
1," “청량리~신내 도시철도 주민 의견 듣는다”...동대문구, 면목선 공청회 개최 ",http://v.daum.net/v/20260814073417558
2," 동대문구, 14일 청량리~신내 면목선 공청회…주민 의견 수렴 ",http://v.daum.net/v/20260814082327522
3," [서울&] 동대문구, 대학생과 청년정책 머리 맞대 ",http://v.daum.net/v/20260813113442835
4," 동대문구, 광복절 앞두고 ‘나라사랑 태극기 달기’ 캠페인 ",http://v.daum.net/v/20260813161039876
5, “이제 동대문·강서 가자”…‘신고가’ 꿈틀대는 비강남권 집값 ,http://v.daum.net/v/20260813151205977
6," 동대문구육아종합지원센터, 서울형키즈카페 동대문구 장안1동점 「부릉부릉 자동차존」 새롭게 단장 ",http://v.daum.net/v/20260812152655197
7, 동대문 찾는 발걸음 늘었지만…상권은 여전히 '텅텅' ,http://v.daum.net/v/20260811111149846
8, 서울 아이 울음소리 커졌다…출생아수 송파구·증가율 동대문구 1위 ,http://v.daum.net/v/20260814000146663
9, “책과 문화 향유하는 동대문구로 도약” ,http://v.daum.net/v/20260812043301503
10, 동대문구 직원 209명 ‘사랑의 헌혈’…생명나눔 동참 ,http://v.daum.net/v/20260813082416606
11," 동대문구, 관내 3개 대학 총학생회와 청년 정책 협약 ",http://v.daum.net/v/20260811154738534
12," 최동민 동대문구청장 ""전국 최초 외로움돌봄과 만들겠다""[인터뷰] ",http://v.daum.net/v/20260810092853933
13, 동대문 청년정책엔 특별한 것이 있다 [현장 행정] ,http://v.daum.net/v/20260813050317651
14," 검찰, ‘110억대 전세사기’ 동대문 집주인에 징역 15년 구형 ",http://v.daum.net/v/20260813173011919
15," 최동민 동대문구청장, 대학생들과 머리 맞댔다…“청년 목소리 정책으로” ",http://v.daum.net/v/20260811064307753
16," 동대문구, ‘평생학습도시’ 재인증…2029년까지 자격 유지 ",http://v.daum.net/v/20260812065507750
17, “애국지사 숭고한 희생 최대한 예우”… 광복 의미 새기는 동대문 [현장 행정] ,http://v.daum.net/v/20260811050429342
18," 동대문구육아종합지원센터, 영유아 보호자 대상 ‘양육 스트레스 관리’ 교육 실시 ",http://v.daum.net/v/20260811095850710
19," 동대문구, 수상스포츠 특화 프로그램 운영 ",http://v.daum.net/v/20260807181209899
20," 동대문엽기떡볶이, 매월 ‘용기내챌린지’ 운영… 다회용기 사용 확산 ",http://v.daum.net/v/20260811104441077
21, 시립대 총학생회장 출신 최동민 동대문구청장 3개 대학 총학과 청년정책 ‘현장 소통’ 강화 ,http://v.daum.net/v/20260811082611780
22, '낭만 주먹’ 가면 쓴 디지털 조폭…‘동대문파’의 실체 [정락인의 사건 속으로] ,http://v.daum.net/v/20260802100137584
23," 동대문구휘경어린이도서관, AI로 역사 인물 되살린다 ",http://v.daum.net/v/20260810163915899
24," 가슴에 '동대문' 문신…""이정재 계승"" 서울조폭 40명 검거 ",http://v.daum.net/v/20260723122349307
25," 동대문구, 중랑천서 패들보드 즐긴다…‘수상스포츠 여름 프로그램’ 운영 ",http://v.daum.net/v/20260807063907127
26," 동대문구, 청량리민자역사 주차장에 ‘하이패스 전용 출구’ 별도 설치 ",http://v.daum.net/v/20260810175210742
27," 동대문구약, 보이스피싱 예방 QR 홍보사업 추진 ",http://v.daum.net/v/20260805105122165
28," 동대문구, 제81주년 광복절 기념행사…순국선열의 뜻 기려 ",http://v.daum.net/v/20260807221610247
29," 동대문구, 장애인활동지원사와 경비원 취업교육 모집 ",http://v.daum.net/v/20260807143918171
