제목,링크,썸네일,세로 size,가로 size
2024년 청년 이사비 및 중개보수비 지원사업 | 일반공지 | 중부소식방 | 중부광장 : 중부대학교,https://www.joongbu.ac.kr/upload/editor/images/000214/20240404095804563_I91VTC8K.png,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fwww.joongbu.ac.kr%2Fupload%2Feditor%2Fimages%2F000214%2F20240404095804563_I91VTC8K.png,920,653
서울 청년 이사비 최대 '40만 원' 지원…'중개 수수료'까지 확대,http://imgnews.naver.net/image/5003/2022/10/10/20221010090126_1805481_656_614_20221010111604094.JPG,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5003%2F2022%2F10%2F10%2F20221010090126_1805481_656_614_20221010111604094.JPG,505,540
"서울시, 청년 이사비 지원사업 문턱 낮춘다…최대 40만원 지원",http://imgnews.naver.net/image/029/2023/05/08/0002799165_001_20230508141005273.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F029%2F2023%2F05%2F08%2F0002799165_001_20230508141005273.jpg,441,540
"영주시, 경북도 최초 청년 이사비 최대 50만원 지원",http://imgnews.naver.net/image/382/2023/05/09/0001050254_001_20230509162501371.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F382%2F2023%2F05%2F09%2F0001050254_001_20230509162501371.jpg,600,600
"서울시, 청년 부동산중개료·이사비 최대 40만원 지원",http://imgnews.naver.net/image/5464/2024/08/12/0000167572_001_20240812144013754.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5464%2F2024%2F08%2F12%2F0000167572_001_20240812144013754.jpg,430,600
"서산시, 충남 최초 주거취약계층 이사비용 지원",http://imgnews.naver.net/image/5788/2023/07/26/0000089312_001_20230726173202929.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5788%2F2023%2F07%2F26%2F0000089312_001_20230726173202929.jpg,618,488
동주민센터소식(상세) < 우리마을소식 < 자양4동 < 동주민센터,https://www.gwangjin.go.kr/editorUpload/images/000194/20220928215921804_RAOT1H4O.png,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fwww.gwangjin.go.kr%2FeditorUpload%2Fimages%2F000194%2F20220928215921804_RAOT1H4O.png,1005,2744
서울신문 검색 서울신문,https://img.seoul.co.kr/img/upload/2025/02/24/SSC_20250224132014_V.jpg,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fimg.seoul.co.kr%2Fimg%2Fupload%2F2025%2F02%2F24%2FSSC_20250224132014_V.jpg,725,580
"""청년 40만원 지원"" 서울시, 중개·이사비 올해 6000명 지원",http://imgnews.naver.net/image/018/2024/04/01/0005704237_001_20240401143205583.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F018%2F2024%2F04%2F01%2F0005704237_001_20240401143205583.jpg,868,616
"경주시, 청년의 정서적 안정과 지역 정착 지원",http://imgnews.naver.net/image/5293/2024/08/07/0000402377_001_20240807110619942.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5293%2F2024%2F08%2F07%2F0000402377_001_20240807110619942.jpg,818,580
"경북도, 2자녀 이상 '다자녀 가정' 이사비 지원 ",http://imgnews.naver.net/image/5329/2024/08/19/0000188174_001_20240819150611820.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5329%2F2024%2F08%2F19%2F0000188174_001_20240819150611820.jpg,411,600
"영주시, 경북도 최초 청년 이사비 최대 50만원 지원",http://imgnews.naver.net/image/5291/2023/05/09/0001776997_001_20230509215201636.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5291%2F2023%2F05%2F09%2F0001776997_001_20230509215201636.jpg,708,501
보도뉴스,http://www.bodonews.com/data/bodonews_com/mainimages/202407/560_658_2024072534461446.webp,https://search.pstatic.net/sunny/?type=b150&src=http%3A%2F%2Fwww.bodonews.com%2Fdata%2Fbodonews_com%2Fmainimages%2F202407%2F560_658_2024072534461446.webp,658,560
"화성시, 청년 부동산 중개보수 및 이사비 지원사업 2025년부터 시행",http://imgnews.naver.net/image/5394/2025/04/24/0001115256_001_20250424125413662.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5394%2F2025%2F04%2F24%2F0001115256_001_20250424125413662.jpg,906,640
안양 청년 이사비 지원 사업 - 안양청년광장 안양청년광장,https://www.anyang.go.kr/downloadContentsFile.do?key=4438&fileNo=44347,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fwww.anyang.go.kr%2FdownloadContentsFile.do%3Fkey%3D4438%26fileNo%3D44347,1491,1055
"성남시, 취업 청년 전월세·이사비 지원사업…625명 추가 모집",http://imgnews.naver.net/image/029/2025/07/07/0002966391_002_20250707082210212.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F029%2F2025%2F07%2F07%2F0002966391_002_20250707082210212.jpg,569,640
"태백시, 주거취약계층 대상 '이사비 지원 사업' 추진",http://imgnews.naver.net/image/5294/2023/03/17/0000275813_001_20230317153401691.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5294%2F2023%2F03%2F17%2F0000275813_001_20230317153401691.jpg,600,600
"용산구, '2025년 온(溫)용산 이사비 지원 사업' 추진",http://imgnews.naver.net/image/5364/2025/02/09/0000998455_001_20250209090815377.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5364%2F2025%2F02%2F09%2F0000998455_001_20250209090815377.jpg,847,600
청년 이사비 지원 등 시민참여예산 사업 21건 선정,http://imgnews.naver.net/image/5383/2025/09/24/0000070777_001_20250924113038583.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5383%2F2025%2F09%2F24%2F0000070777_001_20250924113038583.jpg,720,1280
"인천 중구, 청년 주거 지원 위해 '2026년 청년 이사비 지원사업' 추진",http://imgnews.naver.net/image/5385/2026/01/26/0000836919_001_20260126132415312.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5385%2F2026%2F01%2F26%2F0000836919_001_20260126132415312.jpg,353,250
"다자녀 가정 이사비 지원사업 안내 내용 | 새소식 | 시정현황 | 김천시정 | 누리집 김천시청, 김천시누리집",https://www.gc.go.kr/common/imgView.do?attachId=d0c6ffe415399029d19762d602abbeb483b1042cf6a816650fbf3c82aa3f0f41&fileSn=f9a1967c526603d17ab488b9d2747cda&mode=origin,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fwww.gc.go.kr%2Fcommon%2FimgView.do%3FattachId%3Dd0c6ffe415399029d19762d602abbeb483b1042cf6a816650fbf3c82aa3f0f41%26fileSn%3Df9a1967c526603d17ab488b9d2747cda%26mode%3Dorigin,3375,3375
"수영구, 청년 이사비 지원사업 확대 시행 | 뉴스로",https://www.newsro.kr/wp-content/uploads/2023/07/%EC%82%AC%EC%A7%84%EC%9E%90%EB%A3%8C%EC%88%98%EC%98%81%EA%B5%AC-%EC%B2%AD%EB%85%84-%EC%9D%B4%EC%82%AC%EB%B9%84%EC%9A%A9-%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85-%ED%99%95%EB%8C%80-%EC%B6%94%EC%A7%84.jpg,https://search.pstatic.net/sunny/?type=b150&src=https%3A%2F%2Fwww.newsro.kr%2Fwp-content%2Fuploads%2F2023%2F07%2F%25EC%2582%25AC%25EC%25A7%2584%25EC%259E%2590%25EB%25A3%258C%25EC%2588%2598%25EC%2598%2581%25EA%25B5%25AC-%25EC%25B2%25AD%25EB%2585%2584-%25EC%259D%25B4%25EC%2582%25AC%25EB%25B9%2584%25EC%259A%25A9-%25EC%25A7%2580%25EC%259B%2590%25EC%2582%25AC%25EC%2597%2585-%25ED%2599%2595%25EB%258C%2580-%25EC%25B6%2594%25EC%25A7%2584.jpg,1000,707
"용산구, 기초생활 생계·의료급여 수급자에 이사비 지원",http://imgnews.naver.net/image/5002/2024/01/03/0002502430_001_20240103102201484.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5002%2F2024%2F01%2F03%2F0002502430_001_20240103102201484.jpg,962,680
"서천군, '2026년 청년 이사비 지원사업'운영",http://imgnews.naver.net/image/5347/2026/05/11/0000504301_001_20260511100413723.jpg,https://search.pstatic.net/common/?type=b150&src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5347%2F2026%2F05%2F11%2F0000504301_001_20260511100413723.jpg,600,600
