token,경주빈도,전주빈도,빈도합,경주비율,전주비율
고고학,290,290,580,50.0,50.0
일상,290,290,580,50.0,50.0
알라딘,135,135,270,50.0,50.0
자평,110,110,220,50.0,50.0
경북,100,100,200,50.0,50.0
불국사,100,100,200,50.0,50.0
고양이,95,95,190,50.0,50.0
지음,95,95,190,50.0,50.0
시리즈,90,90,180,50.0,50.0
평점,90,90,180,50.0,50.0
황윤,90,90,180,50.0,50.0
첨성대,85,85,170,50.0,50.0
증보판,85,85,170,50.0,50.0
개정,85,85,170,50.0,50.0
코스,80,80,160,50.0,50.0
황리,80,80,160,50.0,50.0
야경,80,80,160,50.0,50.0
역사,80,80,160,50.0,50.0
투어,70,70,140,50.0,50.0
이야기,55,55,110,50.0,50.0
호텔,55,55,110,50.0,50.0
대릉원,55,55,110,50.0,50.0
신라,55,55,110,50.0,50.0
석굴암,50,50,100,50.0,50.0
시간,45,45,90,50.0,50.0
카페,45,45,90,50.0,50.0
맛집,40,40,80,50.0,50.0
가을,40,40,80,50.0,50.0
마을,40,40,80,50.0,50.0
보문,40,40,80,50.0,50.0
월지,40,40,80,50.0,50.0
생각,35,35,70,50.0,50.0
오늘,35,35,70,50.0,50.0
동궁,35,35,70,50.0,50.0
한옥,35,35,70,50.0,50.0
주상,35,35,70,50.0,50.0
벚꽃,35,35,70,50.0,50.0
수학,35,35,70,50.0,50.0
우리,35,35,70,50.0,50.0
안압지,35,35,70,50.0,50.0
점심,30,30,60,50.0,50.0
스탬프,30,30,60,50.0,50.0
절리,30,30,60,50.0,50.0
교촌,30,30,60,50.0,50.0
아이,30,30,60,50.0,50.0
황남,30,30,60,50.0,50.0
시작,30,30,60,50.0,50.0
버스,30,30,60,50.0,50.0
위치,30,30,60,50.0,50.0
기차,30,30,60,50.0,50.0
도착,25,25,50,50.0,50.0
커피,25,25,50,50.0,50.0
하늘,25,25,50,50.0,50.0
행복,25,25,50,50.0,50.0
택시,25,25,50,50.0,50.0
추천,25,25,50,50.0,50.0
거리,25,25,50,50.0,50.0
순두부,25,25,50,50.0,50.0
혼자,25,25,50,50.0,50.0
방문,25,25,50,50.0,50.0
가족,25,25,50,50.0,50.0
사진,25,25,50,50.0,50.0
숙소,25,25,50,50.0,50.0
운영,25,25,50,50.0,50.0
현대,25,25,50,50.0,50.0
전화,25,25,50,50.0,50.0
주차장,25,25,50,50.0,50.0
유적지,25,25,50,50.0,50.0
느낌,25,25,50,50.0,50.0
정교,25,25,50,50.0,50.0
날씨,25,25,50,50.0,50.0
이번,25,25,50,50.0,50.0
주차,20,20,40,50.0,50.0
여기,20,20,40,50.0,50.0
국내,20,20,40,50.0,50.0
사람,20,20,40,50.0,50.0
울산,20,20,40,50.0,50.0
천마총,20,20,40,50.0,50.0
친구,20,20,40,50.0,50.0
풍경,20,20,40,50.0,50.0
후기,20,20,40,50.0,50.0
석빙고,20,20,40,50.0,50.0
서출지,20,20,40,50.0,50.0
김밥,20,20,40,50.0,50.0
구경,20,20,40,50.0,50.0
서울,20,20,40,50.0,50.0
박물관,15,15,30,50.0,50.0
첨성,15,15,30,50.0,50.0
분식,15,15,30,50.0,50.0
교리,15,15,30,50.0,50.0
힐링,15,15,30,50.0,50.0
파도,15,15,30,50.0,50.0
한잔,15,15,30,50.0,50.0
경상북도,15,15,30,50.0,50.0
계림,15,15,30,50.0,50.0
베스트,15,15,30,50.0,50.0
남산,15,15,30,50.0,50.0
산책,15,15,30,50.0,50.0
주변,15,15,30,50.0,50.0
일자,15,15,30,50.0,50.0
나정,15,15,30,50.0,50.0
입장료,15,15,30,50.0,50.0
장소,15,15,30,50.0,50.0
저녁,15,15,30,50.0,50.0
맷돌,15,15,30,50.0,50.0
시외버스,15,15,30,50.0,50.0
주문,15,15,30,50.0,50.0
산림,15,15,30,50.0,50.0
주전부리,15,15,30,50.0,50.0
파크,15,15,30,50.0,50.0
데이,15,15,30,50.0,50.0
보문호,15,15,30,50.0,50.0
대점,15,15,30,50.0,50.0
터미널,15,15,30,50.0,50.0
소리,15,15,30,50.0,50.0
아덴,15,15,30,50.0,50.0
답사,15,15,30,50.0,50.0
읍천항,15,15,30,50.0,50.0
오릉,15,15,30,50.0,50.0
소설,15,15,30,50.0,50.0
단풍,15,15,30,50.0,50.0
바다,15,15,30,50.0,50.0
다음,15,15,30,50.0,50.0
눈길,15,15,30,50.0,50.0
연구원,15,15,30,50.0,50.0
최근,15,15,30,50.0,50.0
양동,15,15,30,50.0,50.0
마지막,15,15,30,50.0,50.0
분위기,15,15,30,50.0,50.0
분황사,15,15,30,50.0,50.0
보쌈,15,15,30,50.0,50.0
청년,15,15,30,50.0,50.0
마음,15,15,30,50.0,50.0
기대,15,15,30,50.0,50.0
소개,15,15,30,50.0,50.0
목련,10,10,20,50.0,50.0
자리,10,10,20,50.0,50.0
나무,10,10,20,50.0,50.0
무료,10,10,20,50.0,50.0
관심,10,10,20,50.0,50.0
힐튼,10,10,20,50.0,50.0
슈만,10,10,20,50.0,50.0
박광일,10,10,20,50.0,50.0
저희,10,10,20,50.0,50.0
자연,10,10,20,50.0,50.0
목적지,10,10,20,50.0,50.0
의미,10,10,20,50.0,50.0
인원,10,10,20,50.0,50.0
이해,10,10,20,50.0,50.0
이상,10,10,20,50.0,50.0
이름,10,10,20,50.0,50.0
월드,10,10,20,50.0,50.0
울주,10,10,20,50.0,50.0
정도,10,10,20,50.0,50.0
왕릉,10,10,20,50.0,50.0
예약,10,10,20,50.0,50.0
옆집,10,10,20,50.0,50.0
겹벚꽃,10,10,20,50.0,50.0
영업,10,10,20,50.0,50.0
당신,10,10,20,50.0,50.0
기록,10,10,20,50.0,50.0
모임,10,10,20,50.0,50.0
놀부,10,10,20,50.0,50.0
연인,10,10,20,50.0,50.0
루비,10,10,20,50.0,50.0
강릉,10,10,20,50.0,50.0
